[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Nivel],[Tipo],[Cuenta de la subcuenta],[Desglose de la subcuenta],[C/D de la subcuenta],[Ultimo epigrafe],[Izquierda(3)],[Sin signo],[Orden],[Order parent]
1255,Obligatorias,Obligatorias,Asset,E,,Yes,,12,,,,,,,,,,  
125505,Bonos de financiamiento especial,Bonos de financiamiento especial,Asset,E,,No,,1255,,,,,,,,,,  
125510,Bonos de financiamiento presupuestal,Bonos de financiamiento presupuestal,Asset,E,,No,,1255,,,,,,,,,,  
125515,Bonos para desarrollo social y seguridad interna (BDSI),Bonos para desarrollo social y seguridad interna (BDSI),Asset,E,,No,,1255,,,,,,,,,,  
125595,Otras,Otras,Asset,E,,No,,1255,,,,,,,,,,  
1260,Cuentas en participación,Cuentas en participación,Asset,E,,Yes,,12,,,,,,,,,,  
126099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1260,,,,,,,,,,  
1295,Otras inversiones,Otras inversiones,Asset,E,,Yes,,12,,,,,,,,,,  
129505,Aportes en cooperativas,Aportes en cooperativas,Asset,E,,No,,1295,,,,,,,,,,  
129510,Derechos en clubes sociales,Derechos en clubes sociales,Asset,E,,No,,1295,,,,,,,,,,  
129515,Acciones o derechos en clubes deportivos,Acciones o derechos en clubes deportivos,Asset,E,,No,,1295,,,,,,,,,,  
129520,Bonos en colegios,Bonos en colegios,Asset,E,,No,,1295,,,,,,,,,,  
129595,Diversas,Diversas,Asset,E,,No,,1295,,,,,,,,,,  
129599,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1295,,,,,,,,,,  
1299,Provisiones,Provisiones,Asset,E,,Yes,,12,,,,,,,,,,  
129905,Acciones,Acciones,Asset,E,,No,,1299,,,,,,,,,,  
129910,Cuotas o partes de interés social,Cuotas o partes de interés social,Asset,E,,No,,1299,,,,,,,,,,  
129915,Bonos,Bonos,Asset,E,,No,,1299,,,,,,,,,,  
129920,Cédulas,Cédulas,Asset,E,,No,,1299,,,,,,,,,,  
129925,Certificados,Certificados,Asset,E,,No,,1299,,,,,,,,,,  
129930,Papeles comerciales,Papeles comerciales,Asset,E,,No,,1299,,,,,,,,,,  
129935,Títulos,Títulos,Asset,E,,No,,1299,,,,,,,,,,  
129940,Aceptaciones bancarias o financieras,Aceptaciones bancarias o financieras,Asset,E,,No,,1299,,,,,,,,,,  
129945,Derechos fiduciarios,Derechos fiduciarios,Asset,E,,No,,1299,,,,,,,,,,  
129950,Derechos de recompra de inversiones negociadas,Derechos de recompra de inversiones negociadas,Asset,E,,No,,1299,,,,,,,,,,  
129955,Obligatorias,Obligatorias,Asset,E,,No,,1299,,,,,,,,,,  
129960,Cuentas en participación,Cuentas en participación,Asset,E,,No,,1299,,,,,,,,,,  
129995,Otras inversiones,Otras inversiones,Asset,E,,No,,1299,,,,,,,,,,  
13,Deudores,Deudores,Asset,E,,Yes,,1,,,,,,,,,,  
1305,Clientes,Clientes,Asset,E,,Yes,,13,,,,,,,,,,  
130505,Nacionales ,Nacionales ,Asset,E,,No,,1305,,,,,,,,,,  
130510,Del exterior,Del exterior,Asset,E,,No,,1305,,,,,,,,,,  
130515,Deudores del sistema,Deudores del sistema,Asset,E,,No,,1305,,,,,,,,,,  
1310,Cuentas corrientes comerciales,Cuentas corrientes comerciales,Asset,E,,Yes,,13,,,,,,,,,,  
131005,Casa matriz,Casa matriz,Asset,E,,No,,1310,,,,,,,,,,  
131010,Compañías vinculadas,Compañías vinculadas,Asset,E,,No,,1310,,,,,,,,,,  
131015,Accionistas o socios,Accionistas o socios,Asset,E,,No,,1310,,,,,,,,,,  
131020,Particulares,Particulares,Asset,E,,No,,1310,,,,,,,,,,  
131095,Otras,Otras,Asset,E,,No,,1310,,,,,,,,,,  
1315,Cuentas por cobrar a casa matriz,Cuentas por cobrar a casa matriz,Asset,E,,Yes,,13,,,,,,,,,,  
131505,Ventas,Ventas,Asset,E,,No,,1315,,,,,,,,,,  
131510,Pagos a nombre de casa matriz,Pagos a nombre de casa matriz,Asset,E,,No,,1315,,,,,,,,,,  
131515,Valores recibidos por casa matriz,Valores recibidos por casa matriz,Asset,E,,No,,1315,,,,,,,,,,  
131520,Préstamos,Préstamos,Asset,E,,No,,1315,,,,,,,,,,  
1320,Cuentas por cobrar a vinculados económicos,Cuentas por cobrar a vinculados económicos,Asset,E,,Yes,,13,,,,,,,,,,  
132005,Filiales,Filiales,Asset,E,,No,,1320,,,,,,,,,,  
132010,Subsidiarias,Subsidiarias,Asset,E,,No,,1320,,,,,,,,,,  
132015,Sucursales,Sucursales,Asset,E,,No,,1320,,,,,,,,,,  
1323,Cuentas por cobrar a directores,Cuentas por cobrar a directores,Asset,E,,Yes,,13,,,,,,,,,,  
1325,Cuentas por cobrar a socios y accionistas,Cuentas por cobrar a socios y accionistas,Asset,E,,Yes,,13,,,,,,,,,,  
132505,A socios,A socios,Asset,E,,No,,1325,,,,,,,,,,  
132510,A accionistas,A accionistas,Asset,E,,No,,1325,,,,,,,,,,  
1328,Aportes por cobrar,Aportes por cobrar,Asset,E,,Yes,,13,,,,,,,,,,  
1330,Anticipos y avances,Anticipos y avances,Asset,E,,Yes,,13,,,,,,,,,,  
133005,A proveedores,A proveedores,Asset,E,,No,,1330,,,,,,,,,,  
133010,A contratistas,A contratistas,Asset,E,,No,,1330,,,,,,,,,,  
133015,A trabajadores,A trabajadores,Asset,E,,No,,1330,,,,,,,,,,  
133020,A agentes,A agentes,Asset,E,,No,,1330,,,,,,,,,,  
133025,A concesionarios,A concesionarios,Asset,E,,No,,1330,,,,,,,,,,  
133030,De adjudicaciones,De adjudicaciones,Asset,E,,No,,1330,,,,,,,,,,  
133095,Otros,Otros,Asset,E,,No,,1330,,,,,,,,,,  
133099,Ajustes por inflación,Ajustes por inflación,Asset,E,,No,,1330,,,,,,,,,,  
1332,Cuentas de operación conjunta,Cuentas de operación conjunta,Asset,E,,Yes,,13,,,,,,,,,,  
1335,Depósitos,Depósitos,Asset,E,,Yes,,13,,,,,,,,,,  
133505,Para importaciones,Para importaciones,Asset,E,,No,,1335,,,,,,,,,,  
133510,Para servicios,Para servicios,Asset,E,,No,,1335,,,,,,,,,,  
133515,Para contratos,Para contratos,Asset,E,,No,,1335,,,,,,,,,,  
133520,Para responsabilidades,Para responsabilidades,Asset,E,,No,,1335,,,,,,,,,,  
133525,Para juicios ejecutivos,Para juicios ejecutivos,Asset,E,,No,,1335,,,,,,,,,,  
133530,Para adquisición de acciones, cuotas o derechos sociales,Para adquisición de acciones, cuotas o derechos sociales,Asset,E,,No,,1335,,,,,,,,,,  
133535,En garantía,En garantía,Asset,E,,No,,1335,,,,,,,,,,  
133595,Otros,Otros,Asset,E,,No,,1335,,,,,,,,,,  
1340,Promesas de compra venta,Promesas de compra venta,Asset,E,,Yes,,13,,,,,,,,,,  
134005,De bienes raíces,De bienes raíces,Asset,E,,No,,1340,,,,,,,,,,  
134010,De maquinaria y equipo,De maquinaria y equipo,Asset,E,,No,,1340,,,,,,,,,,  
134015,De flota y equipo de transporte,De flota y equipo de transporte,Asset,E,,No,,1340,,,,,,,,,,  
134020,De flota y equipo aéreo,De flota y equipo aéreo,Asset,E,,No,,1340,,,,,,,,,,  
134025,De flota y equipo férreo,De flota y equipo férreo,Asset,E,,No,,1340,,,,,,,,,,  
134030,De flota y equipo  fluvial y/o marítimo,De flota y equipo  fluvial y/o marítimo,Asset,E,,No,,1340,,,,,,,,,,  
134035,De semovientes,De semovientes,Asset,E,,No,,1340,,,,,,,,,,  
134095,De otros bienes,De otros bienes,Asset,E,,No,,1340,,,,,,,,,,  
1345,Ingresos por cobrar,Ingresos por cobrar,Asset,E,,Yes,,13,,,,,,,,,,  
134505,Dividendos y/o participaciones,Dividendos y/o participaciones,Asset,E,,No,,1345,,,,,,,,,,  
134510,Intereses,Intereses,Asset,E,,No,,1345,,,,,,,,,,  
134515,Comisiones,Comisiones,Asset,E,,No,,1345,,,,,,,,,,  
134520,Honorarios,Honorarios,Asset,E,,No,,1345,,,,,,,,,,  
134525,Servicios,Servicios,Asset,E,,No,,1345,,,,,,,,,,  
134530,Arrendamientos,Arrendamientos,Asset,E,,No,,1345,,,,,,,,,,  
134535,CERT por cobrar,CERT por cobrar,Asset,E,,No,,1345,,,,,,,,,,  
134595,Otros,Otros,Asset,E,,No,,1345,,,,,,,,,,  
1350,Retención sobre contratos,Retención sobre contratos,Asset,E,,Yes,,13,,,,,,,,,,  
135005,De construcción,De construcción,Asset,E,,No,,1350,,,,,,,,,,  
135010,De prestación de servicios,De prestación de servicios,Asset,E,,No,,1350,,,,,,,,,,  
135095,Otros,Otros,Asset,E,,No,,1350,,,,,,,,,,  
1355,Anticipo de impuestos y contribuciones o saldos a favor,Anticipo de impuestos y contribuciones o saldos a favor,Asset,E,,Yes,,13,,,,,,,,,,  
135505,Anticipo de impuestos de renta y complementarios,Anticipo de impuestos de renta y complementarios,Asset,E,,No,,1355,,,,,,,,,,  
135510,Anticipo de impuestos de industria y comercio,Anticipo de impuestos de industria y comercio,Asset,E,,No,,1355,,,,,,,,,,  
135515,Retención en la fuente,Retención en la fuente,Asset,E,,No,,1355,,,,,,,,,,  
135517,Impuesto a las ventas retenido,Impuesto a las ventas retenido,Asset,E,,No,,1355,,,,,,,,,,  
135518,Impuesto de industria y comercio retenido,Impuesto de industria y comercio retenido,Asset,E,,No,,1355,,,,,,,,,,  
