[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],Nivel,Tipo,Cuenta de la subcuenta,Desglose de la subcuenta,C/D de la subcuenta,Ultimo epigrafe,Izquierda(3),Sin signo,Orden,Order parent
66700,"Pérdidas de créditos a largo plazo a empresas del grupo","Pérdidas de créditos a largo plazo a empresas del grupo",Expense,B,,No,,6670,7,S,667,6670,B,O,667,66700,1203,618
66710,"Pérdidas de créditos a largo plazo a empresas asociadas","Pérdidas de créditos a largo plazo a empresas asociadas",Expense,B,,No,,6671,7,S,667,6671,B,O,667,66710,1204,619
66730,"Pérdidas de créditos a largo plazo a otras empresas","Pérdidas de créditos a largo plazo a otras empresas",Expense,B,,No,,6673,7,S,667,6673,B,O,667,66730,1205,620
66750,"Pérdidas de créditos a corto plazo a empresas del grupo","Pérdidas de créditos a corto plazo a empresas del grupo",Expense,B,,No,,6675,7,S,667,6675,B,O,667,66750,1206,621
66760,"Pérdidas de créditos a corto plazo a empresas asociadas","Pérdidas de créditos a corto plazo a empresas asociadas",Expense,B,,No,,6676,7,S,667,6676,B,O,667,66760,1207,622
66780,"Pérdidas de créditos a corto plazo a otras empresas","Pérdidas de créditos a corto plazo a otras empresas",Expense,B,,No,,6678,7,S,667,6678,B,O,667,66780,1208,623
66800,"Diferencias negativas de cambio","Diferencias negativas de cambio",Expense,B,Yes,No,B_REVALUATIONLOSS_ACCT,6680,6,S,668,6680,B,O,668,66800,1209,657
66810,"Diferencias negativas de cambio por la introducción del euro","Diferencias negativas de cambio por la introducción del euro",Expense,B,,No,,6681,6,S,668,6681,B,O,668,66810,1210,658
66900,"Otros gastos financieros","Otros gastos financieros",Expense,B,Yes,No,B_INTERESTEXP_ACCT,6690,7,S,669,6690,B,O,669,66900,1211,607
66910,"Gastos por diferencias derivadas del redondeo euro","Gastos por diferencias derivadas del redondeo euro",Expense,B,,No,,6691,7,S,669,6691,B,O,669,66910,1212,608
67000,"Pérdidas procedentes del inmovilizado inmaterial","Pérdidas procedentes del inmovilizado inmaterial",Expense,B,,No,,670,5,S,670,#N/A,C,O,670,67000,1213,671
67100,"Pérdidas procedentes del inmovilizado material","Pérdidas procedentes del inmovilizado material",Expense,B,,No,,671,5,S,671,#N/A,C,O,671,67100,1214,672
67200,"Pérdidas procedentes de participaciones en capital a largo plazo de empresas del grupo","Pérdidas procedentes de participaciones en capital a largo plazo de empresas del grupo",Expense,B,,No,,672,5,S,672,#N/A,C,O,672,67200,1215,673
67300,"Pérdidas procedentes de participaciones en capital a largo plazo de empresas asociadas","Pérdidas procedentes de participaciones en capital a largo plazo de empresas asociadas",Expense,B,,No,,673,5,S,673,#N/A,C,O,673,67300,1216,674
67400,"Pérdidas por operaciones con acciones y obligaciones propias","Pérdidas por operaciones con acciones y obligaciones propias",Expense,B,,No,,674,5,S,674,#N/A,C,O,674,67400,1217,677
67600,"Donaciones del inmovilizado material","Donaciones del inmovilizado material",Expense,B,,No,,676,5,S,676,#N/A,C,O,676,67600,1218,675
67800,"Otros gastos extraordinarios","Otros gastos extraordinarios",Expense,B,,No,,6780,6,S,678,6780,B,O,678,67800,1219,680
67810,"Gastos producidos por la introducción del euro","Gastos producidos por la introducción del euro",Expense,B,,No,,6781,6,S,678,6781,B,O,678,67810,1220,681
67900,"Gastos y pérdidas de ejercicios anteriores","Gastos y pérdidas de ejercicios anteriores",Expense,B,,No,,679,5,S,679,#N/A,C,O,679,67900,1221,683
68000,"Amortización de gastos de establecimiento","Amortización de gastos de establecimiento",Expense,B,,No,,680,5,S,680,#N/A,C,O,680,68000,1222,536
68100,"Amortización del inmovilizado inmaterial","Amortización del inmovilizado inmaterial",Expense,B,,No,,681,5,S,681,#N/A,C,O,681,68100,1223,537
68200,"Amortización del inmovilizado material","Amortización del inmovilizado material",Expense,B,,No,,682,5,S,682,#N/A,C,O,682,68200,1224,538
69000,"Dotación al fondo de reversión","Dotación al fondo de reversión",Expense,B,,No,,690,6,S,690,#N/A,C,O,690,69000,1225,580
69100,"Dotación a la provisión del inmovilizado inmaterial","Dotación a la provisión del inmovilizado inmaterial",Expense,B,,No,,691,5,S,691,#N/A,C,O,691,69100,1226,662
69200,"Dotación a la provisión del inmovilizado material","Dotación a la provisión del inmovilizado material",Expense,B,,No,,692,5,S,692,#N/A,C,O,692,69200,1227,663
69300,"Dotación a la provisión de existencias","Dotación a la provisión de existencias",Expense,B,Yes,No,W_REVALUATION_ACCT,693,6,S,693,#N/A,C,O,693,69300,1228,541
69400,"Dotación a la provisión para insolvencias de tráfico","Dotación a la provisión para insolvencias de tráfico",Expense,B,Yes,No,WRITEOFF_ACCT,694,6,S,694,#N/A,C,O,694,69400,1229,545
69500,"Dotación a la provisión para otras operaciones de tráfico","Dotación a la provisión para otras operaciones de tráfico",Expense,B,,No,,695,6,S,695,#N/A,C,O,695,69500,1230,548
69600,"Dotación a la provisión para participaciones en capital a largo plazo de empresas del grupo","Dotación a la provisión para participaciones en capital a largo plazo de empresas del grupo",Expense,B,,No,,6960,5,S,696,6960,B,O,696,69600,1231,664
69610,"Dotación a la provisión para participaciones en capital a largo plazo de empresas asociadas","Dotación a la provisión para participaciones en capital a largo plazo de empresas asociadas",Expense,B,,No,,6961,5,S,696,6961,B,O,696,69610,1232,665
69630,"Dotación a la provisión para valores negociables a largo plazo de otras empresas","Dotación a la provisión para valores negociables a largo plazo de otras empresas",Expense,B,,No,,6963,5,S,696,6963,B,O,696,69630,1233,625
69650,"Dotación a la provisión para valores de renta fija a largo plazo de empresas del grupo","Dotación a la provisión para valores de renta fija a largo plazo de empresas del grupo",Expense,B,,No,,6965,5,S,696,6965,B,O,696,69650,1234,626
69660,"Dotación a la provisión para valores de renta fija a largo plazo de empresas asociadas","Dotación a la provisión para valores de renta fija a largo plazo de empresas asociadas",Expense,B,,No,,6966,5,S,696,6966,B,O,696,69660,1235,627
69700,"Dotación a la provisión para insolvencias de créditos a largo plazo a empresas del grupo","Dotación a la provisión para insolvencias de créditos a largo plazo a empresas del grupo",Expense,B,,No,,6970,6,S,697,6970,B,O,697,69700,1236,629
